Item Type,Product Name,Brand Name,Price,Retail Price,Sale Price,Product Description,Product Code/SKU,Bin Picking Number,Category,Option Set,Product Availability,Current Stock Level,Free Shipping,Sort Order, Meta Description,Page Title,Product Image Description - 1,Product Image Is Thumbnail - 1,Track Inventory,Product Image Sort - 1,Product Image Sort - 2,Product Image Sort - 3,Product Image Sort - 4,Product Image Sort-5,Product Image Sort-6,Product Image Sort-7,Product Image File - 1,Product Image File - 2,Product Image File - 3,Product Image File - 4,Product Image File - 5 ,Product Image File - 6,Product Image File - 7, 
Product,Leg Press Hack Squat,Burn Fitness,194900.00,194900.00,,<div class="std">        <p>-L X W X H: 225.3 X 97.5 X 147.5 (cm)<br>                     88.8 X 38.4 X 58.1 (in)</p><p>-Net Weight: 157Kg/346.2Lbs</p><p>-MAX WEIGHT CAPACITY: 200Kg/440Lbs</p>    </div>,BURNSFBFI7006,BURNSF,gym-equipments,Leg Press Hack Squat,8-13 Working Days,100,N,-190,Get your hands on the Leg Press Hack Squat. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Leg Press Hack Squat Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Leg Press Hack Squat Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfi7006.jpg,
Product,Seated Calf Raise,Burn Fitness,49900.00,49900.00,,<div class="std">        <p>-L X W X H: 135.6 X 75.1 X 83.1 (cm)<br>                       53.4 X 29.6 X 32.7 (in)</p><p>-Net Weight: 59Kg/125.7Lbs<br><br>-MAX WEIGHT CAPACITY:100Kg/220Lbs</p>    </div>,BURNSFBFI7005,BURNSF,gym-equipments,Seated Calf Raise,8-13 Working Days,100,N,-190,Get your hands on the Seated Calf Raise. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Seated Calf Raise Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Seated Calf Raise Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfi7005.jpg,
Product,Leg Press,Burn Fitness,289900.00,289900.00,,<div class="std">        <p>-L x W x H:1870 x 1103 x 1528 mm</p><p>-PRODUCT WEIGHT:154.2KG</p><p>-WEIGHT STACK:125KG/300LBS</p>    </div>,BURNSFBF9510,BURNSF,gym-equipments,Leg Press,8-13 Working Days,100,N,-190,Get your hands on the Leg Press. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Leg Press Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Leg Press Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf9510.jpg,
Product,Shoulder Press,Burn Fitness,324900.00,324900.00,,<div class="std">        <p>-L x W x H:1984 x 1365 x 1528 mm</p><p>-PRODUCT WEIGHT:158.9KG</p><p>-WEIGHT STACK:91KG/200LBS</p>    </div>,BURNSFBF9512,BURNSF,gym-equipments,Shoulder Press,8-13 Working Days,100,N,-190,Get your hands on the Shoulder Press. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Shoulder Press Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Shoulder Press Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf9512.jpg,
Product,Fid Bench,Burn Fitness,48900.00,48900.00,,<div class="std">        <p>-L X W X H:1350 X 670m X 1350 mm</p><p>-N.W.:39Kg</p><p>-40':252sets</p>    </div>,BURNSFBFS7011,BURNSF,gym-equipments,Fid Bench,8-13 Working Days,100,N,-190,Get your hands on the Fid Bench. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Fid Bench Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Fid Bench Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfs7011.jpg,
Product,Dumbbells Rack,Burn Fitness,74900.00,74900.00,,<div class="std">        <p>L X W X H: 159 X 81.5 X 98.5 (cm)<br>                     62.6 X 32 X 38.8  (in)</p><p>Net Weight: 69.2kg/152.6 lbs</p>    </div>,BURNSFBFI7012,BURNSF,gym-equipments,Dumbbells Rack,8-13 Working Days,100,N,-190,Get your hands on the Dumbbells Rack. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Dumbbells Rack Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Dumbbells Rack Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfi7012.jpg,
Product,Multi Adjustable Bench,Burn Fitness,45900.00,45900.00,,<div class="std">        <p>L X W X H: 121.2 X 75 X 46.5 (cm)<br>                     47.8 x 29.6 x 18.3 (in)</p><p>Net Weight: 37kg/82 lbs</p>    </div>,BURNSFBFI7011,BURNSF,gym-equipments,Multi Adjustable Bench,8-13 Working Days,100,N,-190,Get your hands on the Multi Adjustable Bench. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Multi Adjustable Bench Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Multi Adjustable Bench Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfi7011.jpg,
Product,Weight Plate Tree,Burn Fitness,33490.00,33490.00,,<div class="std">        "<p>L X W X H: 96 x 62.5 x 120 (cm)<br>                   37.8 x 24.6 x 47.3 (in)</p><p>NW: 25kg / 55 lbs</p>"    </div>,BURNSFBFI7017,BURNSF,gym-equipments,Weight Plate Tree,8-13 Working Days,100,N,-190,Get your hands on the Weight Plate Tree. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Weight Plate Tree Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Weight Plate Tree Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf7017_1.jpg,
Product,Seated Calf Raise,Burn Fitness,61900.00,61900.00,,<div class="std">        <p>COMMERCIAL PLATE LOADED SERIES<br> </p><p>-L X W X H: 1475 X 765 X 845 (mm)<br>                      58 X 30.1 X 33.3 (in)<br><br>-Net Weight: 56kg/ 123 lbs<br><br>-MAX WEIGHT CAPACITY:150Kg/330Lbs</p>    </div>,BURNSFBFS7017,BURNSF,gym-equipments,Seated Calf Raise,8-13 Working Days,100,N,-190,Get your hands on the Seated Calf Raise. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Seated Calf Raise Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Seated Calf Raise Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfs7017.jpeg,
Product,Leg Press,Burn Fitness,199900.00,199900.00,,<div class="std">        <p>COMMERCIAL PLATE LOADED SERIES</p><p>-L X W X H: 2226 X 1421 X 1419 mm</p><p>-N.W.:189Kg</p><p>-40':65sets </p><p>-MAX WEIGHT CAPACITY:400Kg/880Lbs</p>    </div>,BURNSFBFS7006,BURNSF,gym-equipments,Leg Press,8-13 Working Days,100,N,-190,Get your hands on the Leg Press. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Leg Press Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Leg Press Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfs7006.jpg,
Product,Incline Press,Burn Fitness,196900.00,196900.00,,<div class="std">        <p>COMMERCIAL PLATE LOADED SERIES</p><p>-L X W X H:1900 X 1523 X 1779 mm</p><p>-N.W.:185Kg</p><p>-40':72sets </p><p>-MAX WEIGHT CAPACITY:300Kg/660Lbs</p>    </div>,BURNSFBFS7005,BURNSF,gym-equipments,Incline Press,8-13 Working Days,100,N,-190,Get your hands on the Incline Press. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Incline Press Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Incline Press Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfs7005.jpg,
Product,Reverse Leg Press,Burn Fitness,371900.00,371900.00,,<div class="std">        <p>-L X W X H: 2499 X 1879 X 1544 (mm)<br>                         98.4 X 74 X 60.8 (in)</p><p>-40':58sets</p><p>-MAX WEIGHT CAPACITY:450Kg/99OLbs</p>    </div>,BURNSFBFS7020,BURNSF,gym-equipments,Reverse Leg Press,8-13 Working Days,100,N,-190,Get your hands on the Reverse Leg Press. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Reverse Leg Press Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Reverse Leg Press Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfs7020.jpg,
Product,Back Extension,Burn Fitness,296900.00,296900.00,,<div class="std">        <p>-L x W x H:1278 x 1207 x 1528mm</p><p>-PRODUCT WEIGHT:125KG</p><p>-WEIGHT STACK:91KG/200LBS</p>    </div>,BURNSFBF9532,BURNSF,gym-equipments,Back Extension,8-13 Working Days,100,N,-190,Get your hands on the Back Extension. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Back Extension Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Back Extension Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf9532.jpg,
Product,Standing Leg Curl,Burn Fitness,173900.00,173900.00,,<div class="std">        <p>-L x W x H:1403x1045x1200 (mm)</p><p>                       55.2x41.1x47.2 (in)</p><p> </p><p>-WEIGHT CAPACITY:120Kg/265Lbs</p>    </div>,BURNSFBF7026,BURNSF,gym-equipments,Standing Leg Curl,8-13 Working Days,100,N,-190,Get your hands on the Standing Leg Curl. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Standing Leg Curl Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Standing Leg Curl Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf7026.jpg,
Product,Chest Press,Burn Fitness,296900.00,296900.00,,<div class="std">        <p>-L x W x H:1497x1373x1831mm</p><p>-PRODUCT WEIGHT:150.1KG</p><p>-WEIGHT STACK:91KG/200LBS</p>    </div>,BURNSFBF9531,BURNSF,gym-equipments,Chest Press,8-13 Working Days,100,N,-190,Get your hands on the Chest Press. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Chest Press Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Chest Press Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf9531.jpg,
Product,Total Hip,Burn Fitness,329900.00,329900.00,,<div class="std">        <p>-L x W x H:1300 x 974 x 1528 mm</p><p>-PRODUCT WEIGHT:157.1KG</p><p>-WEIGHT STACK:91KG/200LBS</p>    </div>,BURNSFBF9509,BURNSF,gym-equipments,Total Hip,8-13 Working Days,100,N,-190,Get your hands on the Total Hip. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Total Hip Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Total Hip Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf9509.jpg,
Product,14" Threaded Bar With Two Star Collars,Burn Fitness,805.00,805.00,,<div class="std">        <ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Dumbbell handle is the perfect choice for those lifters wanting to have flexibility in dumbbell weight sizes</span></li><li><span class="a-list-item">Made of solid steel this silver oxide fnished bar fits all 1" hole weight lifting plates</span></li><li><span class="a-list-item">Threaded ends provide a safe alternative to traditional bar collars</span></li></ul>    </div>,BURNSFBFA2201R,BURNSF,gym-equipments,14" Threaded Bar With Two Star Collars,8-13 Working Days,100,N,-190,Get your hands on the 14" Threaded Bar With Two Star Collars. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the 14" Threaded Bar With Two Star Collars Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy 14" Threaded Bar With Two Star Collars Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/r/o/rod-01.jpg,
Product,Upright Bike,Burn Fitness,214900.00,214900.00,,<div class="std">        <table style="width: 712px;" border="1"><tbody><tr><td><p><span style="text-decoration: underline; font-size: medium; color: #ff0000;"><b>CONSOLE</b></span></p></td><td><p>　</p></td></tr><tr><td><p><b><i>console windows</i></b></p></td><td><p>7 windows + dot matrix</p></td></tr><tr><td><p><b><i>program instant key</i></b></p></td><td><p>Yes</p></td></tr><tr><td><p><b><i>numeric Keypad</i></b></p></td><td><p>Yes</p></td></tr><tr><td><p><b><i>workouts </i></b></p></td><td><p>11</p></td></tr><tr><td><p><b><i>Display readouts</i></b></p></td><td><p>7</p></td></tr><tr><td><p><span style="text-decoration: underline; font-size: medium; color: #ff0000;"><b>UNIT SELECTION</b></span></p></td><td><p>　</p></td></tr><tr><td><p><b>Metric </b></p></td><td><p>Yes</p></td></tr><tr><td><p><b>English </b></p></td><td><p>Yes</p></td></tr><tr><td><p><span style="text-decoration: underline; font-size: small; color: #ff0000;"><b>HEART RATE MONITORING</b></span></p></td><td><p>　</p></td></tr><tr><td><p><b>contact </b></p></td><td><p>Polar</p></td></tr><tr><td><p><b>telemetry</b></p></td><td><p>Polar</p></td></tr><tr><td><p><span style="text-decoration: underline; font-size: medium; color: #ff0000;"><b>FEATURES</b></span></p></td><td><p>　</p></td></tr><tr><td><p><b>handlebars</b></p></td><td><p>3 riding positions; <b>with</b> two sets of contact heart rates grips and on-your-finger-tips control</p></td></tr><tr><td><p><b>frame</b></p></td><td><p>2 step powder-coating  with           rust-resistant undercoat</p></td></tr><tr><td><p><b>resistance levels</b></p></td><td><p>20</p></td></tr><tr><td><p><b>brake </b></p></td><td><p>Self powered hybrid brake</p></td></tr><tr><td><p><b>resistance Brake power</b></p></td><td><p>450W</p></td></tr><tr><td><p><b>crank</b></p></td><td><p>oversized</p></td></tr><tr><td><p><b>pedals </b></p></td><td><p>oversized dual-sided pedals with integrated straps</p></td></tr><tr><td><p><b>Integrated Transportion Wheels</b></p></td><td><p>Yes</p></td></tr><tr><td><p><b>cup holder</b></p></td><td><p>Yes</p></td></tr><tr><td><p><b>step through anti-skid</b></p></td><td><p>N/A</p></td></tr><tr><td><p><span style="text-decoration: underline; font-size: medium; color: #ff0000;"><b>TECH SPECS</b></span></p></td><td><p>　</p></td></tr><tr><td><p><b>overall dimension</b></p></td><td><p>1130mm * 600mm * 1480 / 44'' * 24'' * 58''</p></td></tr><tr><td><p><b>maximum user weight</b></p></td><td><p>160Kg/350Lbs</p></td></tr><tr><td><p><b>weight</b></p></td><td><p>67kg/151lbs</p></td></tr><tr><td><p><b>shipping weight</b></p></td><td><p>84.8kg/186lbs</p></td></tr><tr><td><p><b>carton cubic size</b></p></td><td><p>1150×405×870mm / 45"×16"×34" </p></td></tr><tr><td><p><b>container count</b></p></td><td><p>175 sets</p></td></tr><tr><td colspan="2"><p>*Specifications subject to change</p><p>*All models are CE; ETL; EN957 approved</p></td></tr></tbody></table>    </div>,BURNSFRU700,BURNSF,gym-equipments,Upright Bike,8-13 Working Days,100,N,-190,Get your hands on the Upright Bike. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Upright Bike Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Upright Bike Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/r/u/ru700.jpg;http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/r/u/ru700_console.jpg,
