Item Type,Category,Free Shipping,Brand Name,Bin Picking Number,Product Availability,Product Image Sort - 7,Product Image Sort - 6,Product Image Sort - 5,Product Code/SKU,Option Set,Product Image Sort - 2,Product Image Sort - 1,Product Image Description 1,Product Image Sort - 4,Retail Price,Product Image Sort - 3,Price,Product Description,Product Image Is Thumbnail 1,Current Stock,Sale Price,Track Inventory,Product Name,Product Image File -1,Product Image File -2,Product Image File -3,Product Image File -4,Product Image File -5,Product Image File -6,Product Image File -7
SKU,,,,1402270,,,,,IND1402270,,,,,,,,,,Y,7,,,[S]Size=UK 6,,,,,,,
SKU,,,,1357773,,,,,IND1357773,,,,,,,,,,Y,0,,,[S]Size=UK 6,,,,,,,
SKU,,,,543262,,,,,IND543262,,,,,,,,,,Y,12,,,[S]Size=UK 6,,,,,,,
SKU,,,,2964943,,,,,IND2964943,,,,,,,,,,Y,6,,,[S]Size=UK 6,,,,,,,
Product,Shoes/Men's Shoes/Cross Training Shoes,N,ASICS ,410119,2-7 Business  Days,7,6,5,IND410119,ASICS Men Neon Green Gel Excel33 3 Running Shoes,2,1,BuyASICS Men Neon Green Gel Excel33 3 Running Shoes Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,4,"7,999",3,"7,999",,Y,,,By Product,ASICS Men Neon Green Gel Excel33 3 Running Shoes,,"http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/ASICS-Men-Sports-Shoes_d62322666a17a661ce852b068a1eaa56_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/ASICS-Men-Sports-Shoes_8c594a5d2f6a321d49ddd2d93d8a1d11_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/ASICS-Men-Sports-Shoes_bfa59163e04b71c37bb3892f51894e21_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/ASICS-Men-Sports-Shoes_c965712e1d05c53a72516f67e64dc866_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/ASICS-Men-Sports-Shoes_da485dd9f6a6a82c55951a6a97a6a433_images_mini.jpg",
SKU,,,,2278752,,,,,IND2278752,,,,,,,,,,Y,59,,,[S]Size=UK 11,,,,,,,
SKU,,,,2278755,,,,,IND2278755,,,,,,,,,,Y,41,,,[S]Size=UK 12,,,,,,,
SKU,,,,1357776,,,,,IND1357776,,,,,,,,,,Y,81,,,[S]Size=UK 9,,,,,,,
SKU,,,,2578665,,,,,IND2578665,,,,,,,,,,Y,52,,,[S]Size=UK 9,,,,,,,
SKU,,,,1402271,,,,,IND1402271,,,,,,,,,,Y,46,,,[S]Size=UK 7,,,,,,,
SKU,,,,457129,,,,,IND457129,,,,,,,,,,Y,0,,,[S]Size=UK 7,,,,,,,
SKU,,,,457123,,,,,IND457123,,,,,,,,,,Y,24,,,[S]Size=UK 7,,,,,,,
